market_id,home,away,start,sport,league
real_0,Burnley,Man City,2023-08-11,soccer,Premier League
real_1,Arsenal,Nott'm Forest,2023-08-12,soccer,Premier League
real_2,Bournemouth,West Ham,2023-08-12,soccer,Premier League
real_3,Brighton,Luton,2023-08-12,soccer,Premier League
real_4,Everton,Fulham,2023-08-12,soccer,Premier League
real_5,Sheffield United,Crystal Palace,2023-08-12,soccer,Premier League
real_6,Newcastle,Aston Villa,2023-08-12,soccer,Premier League
real_7,Brentford,Tottenham,2023-08-13,soccer,Premier League
real_8,Chelsea,Liverpool,2023-08-13,soccer,Premier League
real_9,Man United,Wolves,2023-08-14,soccer,Premier League
real_10,Nott'm Forest,Sheffield United,2023-08-18,soccer,Premier League
real_11,Fulham,Brentford,2023-08-19,soccer,Premier League
real_12,Liverpool,Bournemouth,2023-08-19,soccer,Premier League
real_13,Wolves,Brighton,2023-08-19,soccer,Premier League
real_14,Tottenham,Man United,2023-08-19,soccer,Premier League
real_15,Man City,Newcastle,2023-08-19,soccer,Premier League
real_16,Aston Villa,Everton,2023-08-20,soccer,Premier League
real_17,West Ham,Chelsea,2023-08-20,soccer,Premier League
real_18,Crystal Palace,Arsenal,2023-08-21,soccer,Premier League
real_19,Chelsea,Luton,2023-08-25,soccer,Premier League
real_20,Bournemouth,Tottenham,2023-08-26,soccer,Premier League
real_21,Arsenal,Fulham,2023-08-26,soccer,Premier League
real_22,Brentford,Crystal Palace,2023-08-26,soccer,Premier League
real_23,Everton,Wolves,2023-08-26,soccer,Premier League
real_24,Man United,Nott'm Forest,2023-08-26,soccer,Premier League
real_25,Brighton,West Ham,2023-08-26,soccer,Premier League
real_26,Burnley,Aston Villa,2023-08-27,soccer,Premier League
real_27,Sheffield United,Man City,2023-08-27,soccer,Premier League
real_28,Newcastle,Liverpool,2023-08-27,soccer,Premier League
real_29,Luton,West Ham,2023-09-01,soccer,Premier League
real_30,Sheffield United,Everton,2023-09-02,soccer,Premier League
real_31,Brentford,Bournemouth,2023-09-02,soccer,Premier League
real_32,Burnley,Tottenham,2023-09-02,soccer,Premier League
real_33,Chelsea,Nott'm Forest,2023-09-02,soccer,Premier League
real_34,Man City,Fulham,2023-09-02,soccer,Premier League
real_35,Brighton,Newcastle,2023-09-02,soccer,Premier League
real_36,Crystal Palace,Wolves,2023-09-03,soccer,Premier League
real_37,Liverpool,Aston Villa,2023-09-03,soccer,Premier League
real_38,Arsenal,Man United,2023-09-03,soccer,Premier League
real_39,Wolves,Liverpool,2023-09-16,soccer,Premier League
real_40,Aston Villa,Crystal Palace,2023-09-16,soccer,Premier League
real_41,Fulham,Luton,2023-09-16,soccer,Premier League
real_42,Man United,Brighton,2023-09-16,soccer,Premier League
real_43,Tottenham,Sheffield United,2023-09-16,soccer,Premier League
real_44,West Ham,Man City,2023-09-16,soccer,Premier League
real_45,Newcastle,Brentford,2023-09-16,soccer,Premier League
real_46,Bournemouth,Chelsea,2023-09-17,soccer,Premier League
real_47,Everton,Arsenal,2023-09-17,soccer,Premier League
real_48,Nott'm Forest,Burnley,2023-09-18,soccer,Premier League
real_49,Crystal Palace,Fulham,2023-09-23,soccer,Premier League
real_50,Luton,Wolves,2023-09-23,soccer,Premier League
real_51,Man City,Nott'm Forest,2023-09-23,soccer,Premier League
real_52,Brentford,Everton,2023-09-23,soccer,Premier League
real_53,Burnley,Man United,2023-09-23,soccer,Premier League
real_54,Arsenal,Tottenham,2023-09-24,soccer,Premier League
real_55,Brighton,Bournemouth,2023-09-24,soccer,Premier League
real_56,Chelsea,Aston Villa,2023-09-24,soccer,Premier League
real_57,Liverpool,West Ham,2023-09-24,soccer,Premier League
real_58,Sheffield United,Newcastle,2023-09-24,soccer,Premier League
real_59,Aston Villa,Brighton,2023-09-30,soccer,Premier League
real_60,Bournemouth,Arsenal,2023-09-30,soccer,Premier League
real_61,Everton,Luton,2023-09-30,soccer,Premier League
real_62,Man United,Crystal Palace,2023-09-30,soccer,Premier League
real_63,Newcastle,Burnley,2023-09-30,soccer,Premier League
real_64,West Ham,Sheffield United,2023-09-30,soccer,Premier League
real_65,Wolves,Man City,2023-09-30,soccer,Premier League
real_66,Tottenham,Liverpool,2023-09-30,soccer,Premier League
real_67,Nott'm Forest,Brentford,2023-10-01,soccer,Premier League
real_68,Fulham,Chelsea,2023-10-02,soccer,Premier League
real_69,Luton,Burnley,2023-10-03,soccer,Premier League
real_70,Luton,Tottenham,2023-10-07,soccer,Premier League
real_71,Burnley,Chelsea,2023-10-07,soccer,Premier League
real_72,Everton,Bournemouth,2023-10-07,soccer,Premier League
real_73,Fulham,Sheffield United,2023-10-07,soccer,Premier League
real_74,Man United,Brentford,2023-10-07,soccer,Premier League
real_75,Crystal Palace,Nott'm Forest,2023-10-07,soccer,Premier League
real_76,Brighton,Liverpool,2023-10-08,soccer,Premier League
real_77,West Ham,Newcastle,2023-10-08,soccer,Premier League
real_78,Wolves,Aston Villa,2023-10-08,soccer,Premier League
real_79,Arsenal,Man City,2023-10-08,soccer,Premier League
real_80,Liverpool,Everton,2023-10-21,soccer,Premier League
real_81,Bournemouth,Wolves,2023-10-21,soccer,Premier League
real_82,Brentford,Burnley,2023-10-21,soccer,Premier League
real_83,Man City,Brighton,2023-10-21,soccer,Premier League
real_84,Newcastle,Crystal Palace,2023-10-21,soccer,Premier League
real_85,Nott'm Forest,Luton,2023-10-21,soccer,Premier League
real_86,Chelsea,Arsenal,2023-10-21,soccer,Premier League
real_87,Sheffield United,Man United,2023-10-21,soccer,Premier League
real_88,Aston Villa,West Ham,2023-10-22,soccer,Premier League
real_89,Tottenham,Fulham,2023-10-23,soccer,Premier League
real_90,Crystal Palace,Tottenham,2023-10-27,soccer,Premier League
real_91,Chelsea,Brentford,2023-10-28,soccer,Premier League
real_92,Arsenal,Sheffield United,2023-10-28,soccer,Premier League
real_93,Bournemouth,Burnley,2023-10-28,soccer,Premier League
real_94,Wolves,Newcastle,2023-10-28,soccer,Premier League
real_95,West Ham,Everton,2023-10-29,soccer,Premier League
real_96,Aston Villa,Luton,2023-10-29,soccer,Premier League
real_97,Brighton,Fulham,2023-10-29,soccer,Premier League
real_98,Liverpool,Nott'm Forest,2023-10-29,soccer,Premier League
real_99,Man United,Man City,2023-10-29,soccer,Premier League
real_100,Fulham,Man United,2023-11-04,soccer,Premier League
real_101,Brentford,West Ham,2023-11-04,soccer,Premier League
real_102,Burnley,Crystal Palace,2023-11-04,soccer,Premier League
real_103,Everton,Brighton,2023-11-04,soccer,Premier League
real_104,Man City,Bournemouth,2023-11-04,soccer,Premier League
real_105,Sheffield United,Wolves,2023-11-04,soccer,Premier League
real_106,Newcastle,Arsenal,2023-11-04,soccer,Premier League
real_107,Nott'm Forest,Aston Villa,2023-11-05,soccer,Premier League
real_108,Luton,Liverpool,2023-11-05,soccer,Premier League
real_109,Tottenham,Chelsea,2023-11-06,soccer,Premier League
real_110,Wolves,Tottenham,2023-11-11,soccer,Premier League
real_111,Arsenal,Burnley,2023-11-11,soccer,Premier League
real_112,Crystal Palace,Everton,2023-11-11,soccer,Premier League
real_113,Man United,Luton,2023-11-11,soccer,Premier League
real_114,Bournemouth,Newcastle,2023-11-11,soccer,Premier League
real_115,Aston Villa,Fulham,2023-11-12,soccer,Premier League
real_116,Brighton,Sheffield United,2023-11-12,soccer,Premier League
real_117,Liverpool,Brentford,2023-11-12,soccer,Premier League
real_118,West Ham,Nott'm Forest,2023-11-12,soccer,Premier League
real_119,Chelsea,Man City,2023-11-12,soccer,Premier League
real_120,Man City,Liverpool,2023-11-25,soccer,Premier League
real_121,Burnley,West Ham,2023-11-25,soccer,Premier League
real_122,Luton,Crystal Palace,2023-11-25,soccer,Premier League
real_123,Newcastle,Chelsea,2023-11-25,soccer,Premier League
real_124,Nott'm Forest,Brighton,2023-11-25,soccer,Premier League
real_125,Sheffield United,Bournemouth,2023-11-25,soccer,Premier League
real_126,Brentford,Arsenal,2023-11-25,soccer,Premier League
real_127,Tottenham,Aston Villa,2023-11-26,soccer,Premier League
real_128,Everton,Man United,2023-11-26,soccer,Premier League
real_129,Fulham,Wolves,2023-11-27,soccer,Premier League
real_130,Arsenal,Wolves,2023-12-02,soccer,Premier League
real_131,Brentford,Luton,2023-12-02,soccer,Premier League
real_132,Burnley,Sheffield United,2023-12-02,soccer,Premier League
real_133,Nott'm Forest,Everton,2023-12-02,soccer,Premier League
real_134,Newcastle,Man United,2023-12-02,soccer,Premier League
real_135,Bournemouth,Aston Villa,2023-12-03,soccer,Premier League
real_136,Chelsea,Brighton,2023-12-03,soccer,Premier League
real_137,Liverpool,Fulham,2023-12-03,soccer,Premier League
real_138,West Ham,Crystal Palace,2023-12-03,soccer,Premier League
real_139,Man City,Tottenham,2023-12-03,soccer,Premier League
real_140,Wolves,Burnley,2023-12-05,soccer,Premier League
real_141,Luton,Arsenal,2023-12-05,soccer,Premier League
real_142,Brighton,Brentford,2023-12-06,soccer,Premier League
real_143,Crystal Palace,Bournemouth,2023-12-06,soccer,Premier League
real_144,Fulham,Nott'm Forest,2023-12-06,soccer,Premier League
real_145,Sheffield United,Liverpool,2023-12-06,soccer,Premier League
real_146,Aston Villa,Man City,2023-12-06,soccer,Premier League
real_147,Man United,Chelsea,2023-12-06,soccer,Premier League
real_148,Everton,Newcastle,2023-12-07,soccer,Premier League
real_149,Tottenham,West Ham,2023-12-07,soccer,Premier League
real_150,Crystal Palace,Liverpool,2023-12-09,soccer,Premier League
real_151,Brighton,Burnley,2023-12-09,soccer,Premier League
real_152,Man United,Bournemouth,2023-12-09,soccer,Premier League
real_153,Sheffield United,Brentford,2023-12-09,soccer,Premier League
real_154,Wolves,Nott'm Forest,2023-12-09,soccer,Premier League
real_155,Aston Villa,Arsenal,2023-12-09,soccer,Premier League
real_156,Everton,Chelsea,2023-12-10,soccer,Premier League
real_157,Fulham,West Ham,2023-12-10,soccer,Premier League
real_158,Luton,Man City,2023-12-10,soccer,Premier League
real_159,Tottenham,Newcastle,2023-12-10,soccer,Premier League
real_160,Nott'm Forest,Tottenham,2023-12-15,soccer,Premier League
real_161,Chelsea,Sheffield United,2023-12-16,soccer,Premier League
real_162,Man City,Crystal Palace,2023-12-16,soccer,Premier League
real_163,Newcastle,Fulham,2023-12-16,soccer,Premier League
real_164,Burnley,Everton,2023-12-16,soccer,Premier League
real_165,Arsenal,Brighton,2023-12-17,soccer,Premier League
real_166,Brentford,Aston Villa,2023-12-17,soccer,Premier League
real_167,West Ham,Wolves,2023-12-17,soccer,Premier League
real_168,Liverpool,Man United,2023-12-17,soccer,Premier League
real_169,Crystal Palace,Brighton,2023-12-21,soccer,Premier League
real_170,Aston Villa,Sheffield United,2023-12-22,soccer,Premier League
real_171,West Ham,Man United,2023-12-23,soccer,Premier League
real_172,Fulham,Burnley,2023-12-23,soccer,Premier League
real_173,Luton,Newcastle,2023-12-23,soccer,Premier League
real_174,Nott'm Forest,Bournemouth,2023-12-23,soccer,Premier League
real_175,Tottenham,Everton,2023-12-23,soccer,Premier League
real_176,Liverpool,Arsenal,2023-12-23,soccer,Premier League
real_177,Wolves,Chelsea,2023-12-24,soccer,Premier League
real_178,Newcastle,Nott'm Forest,2023-12-26,soccer,Premier League
real_179,Bournemouth,Fulham,2023-12-26,soccer,Premier League
real_180,Sheffield United,Luton,2023-12-26,soccer,Premier League
real_181,Burnley,Liverpool,2023-12-26,soccer,Premier League
real_182,Man United,Aston Villa,2023-12-26,soccer,Premier League
real_183,Brentford,Wolves,2023-12-27,soccer,Premier League
real_184,Chelsea,Crystal Palace,2023-12-27,soccer,Premier League
real_185,Everton,Man City,2023-12-27,soccer,Premier League
real_186,Brighton,Tottenham,2023-12-28,soccer,Premier League
real_187,Arsenal,West Ham,2023-12-28,soccer,Premier League
real_188,Luton,Chelsea,2023-12-30,soccer,Premier League
real_189,Aston Villa,Burnley,2023-12-30,soccer,Premier League
real_190,Crystal Palace,Brentford,2023-12-30,soccer,Premier League
real_191,Man City,Sheffield United,2023-12-30,soccer,Premier League
real_192,Wolves,Everton,2023-12-30,soccer,Premier League
real_193,Nott'm Forest,Man United,2023-12-30,soccer,Premier League
real_194,Fulham,Arsenal,2023-12-31,soccer,Premier League
real_195,Tottenham,Bournemouth,2023-12-31,soccer,Premier League
real_196,Liverpool,Newcastle,2024-01-01,soccer,Premier League
real_197,West Ham,Brighton,2024-01-02,soccer,Premier League
real_198,Burnley,Luton,2024-01-12,soccer,Premier League
real_199,Chelsea,Fulham,2024-01-13,soccer,Premier League
real_200,Newcastle,Man City,2024-01-13,soccer,Premier League
real_201,Everton,Aston Villa,2024-01-14,soccer,Premier League
real_202,Man United,Tottenham,2024-01-14,soccer,Premier League
real_203,Arsenal,Crystal Palace,2024-01-20,soccer,Premier League
real_204,Brentford,Nott'm Forest,2024-01-20,soccer,Premier League
real_205,Sheffield United,West Ham,2024-01-21,soccer,Premier League
real_206,Bournemouth,Liverpool,2024-01-21,soccer,Premier League
real_207,Brighton,Wolves,2024-01-22,soccer,Premier League
real_208,Nott'm Forest,Arsenal,2024-01-30,soccer,Premier League
real_209,Fulham,Everton,2024-01-30,soccer,Premier League
real_210,Luton,Brighton,2024-01-30,soccer,Premier League
real_211,Crystal Palace,Sheffield United,2024-01-30,soccer,Premier League
real_212,Aston Villa,Newcastle,2024-01-30,soccer,Premier League
real_213,Man City,Burnley,2024-01-31,soccer,Premier League
real_214,Tottenham,Brentford,2024-01-31,soccer,Premier League
real_215,Liverpool,Chelsea,2024-01-31,soccer,Premier League
real_216,West Ham,Bournemouth,2024-02-01,soccer,Premier League
real_217,Wolves,Man United,2024-02-01,soccer,Premier League
real_218,Everton,Tottenham,2024-02-03,soccer,Premier League
real_219,Brighton,Crystal Palace,2024-02-03,soccer,Premier League
real_220,Burnley,Fulham,2024-02-03,soccer,Premier League
real_221,Newcastle,Luton,2024-02-03,soccer,Premier League
real_222,Sheffield United,Aston Villa,2024-02-03,soccer,Premier League
real_223,Bournemouth,Nott'm Forest,2024-02-04,soccer,Premier League
real_224,Chelsea,Wolves,2024-02-04,soccer,Premier League
real_225,Man United,West Ham,2024-02-04,soccer,Premier League
real_226,Arsenal,Liverpool,2024-02-04,soccer,Premier League
real_227,Brentford,Man City,2024-02-05,soccer,Premier League
real_228,Man City,Everton,2024-02-10,soccer,Premier League
real_229,Fulham,Bournemouth,2024-02-10,soccer,Premier League
real_230,Liverpool,Burnley,2024-02-10,soccer,Premier League
real_231,Luton,Sheffield United,2024-02-10,soccer,Premier League
real_232,Tottenham,Brighton,2024-02-10,soccer,Premier League
real_233,Wolves,Brentford,2024-02-10,soccer,Premier League
real_234,Nott'm Forest,Newcastle,2024-02-10,soccer,Premier League
real_235,West Ham,Arsenal,2024-02-11,soccer,Premier League
real_236,Aston Villa,Man United,2024-02-11,soccer,Premier League
real_237,Crystal Palace,Chelsea,2024-02-12,soccer,Premier League
real_238,Brentford,Liverpool,2024-02-17,soccer,Premier League
real_239,Burnley,Arsenal,2024-02-17,soccer,Premier League
real_240,Fulham,Aston Villa,2024-02-17,soccer,Premier League
real_241,Newcastle,Bournemouth,2024-02-17,soccer,Premier League
real_242,Nott'm Forest,West Ham,2024-02-17,soccer,Premier League
real_243,Tottenham,Wolves,2024-02-17,soccer,Premier League
real_244,Man City,Chelsea,2024-02-17,soccer,Premier League
real_245,Sheffield United,Brighton,2024-02-18,soccer,Premier League
real_246,Luton,Man United,2024-02-18,soccer,Premier League
real_247,Everton,Crystal Palace,2024-02-19,soccer,Premier League
real_248,Man City,Brentford,2024-02-20,soccer,Premier League
real_249,Liverpool,Luton,2024-02-21,soccer,Premier League
real_250,Aston Villa,Nott'm Forest,2024-02-24,soccer,Premier League
real_251,Brighton,Everton,2024-02-24,soccer,Premier League
real_252,Crystal Palace,Burnley,2024-02-24,soccer,Premier League
real_253,Man United,Fulham,2024-02-24,soccer,Premier League
real_254,Bournemouth,Man City,2024-02-24,soccer,Premier League
real_255,Arsenal,Newcastle,2024-02-24,soccer,Premier League
real_256,Wolves,Sheffield United,2024-02-25,soccer,Premier League
real_257,West Ham,Brentford,2024-02-26,soccer,Premier League
real_258,Brentford,Chelsea,2024-03-02,soccer,Premier League
real_259,Everton,West Ham,2024-03-02,soccer,Premier League
real_260,Fulham,Brighton,2024-03-02,soccer,Premier League
real_261,Newcastle,Wolves,2024-03-02,soccer,Premier League
real_262,Nott'm Forest,Liverpool,2024-03-02,soccer,Premier League
real_263,Tottenham,Crystal Palace,2024-03-02,soccer,Premier League
real_264,Luton,Aston Villa,2024-03-02,soccer,Premier League
real_265,Burnley,Bournemouth,2024-03-03,soccer,Premier League
real_266,Man City,Man United,2024-03-03,soccer,Premier League
real_267,Sheffield United,Arsenal,2024-03-04,soccer,Premier League
real_268,Man United,Everton,2024-03-09,soccer,Premier League
real_269,Bournemouth,Sheffield United,2024-03-09,soccer,Premier League
real_270,Crystal Palace,Luton,2024-03-09,soccer,Premier League
real_271,Wolves,Fulham,2024-03-09,soccer,Premier League
real_272,Arsenal,Brentford,2024-03-09,soccer,Premier League
real_273,Aston Villa,Tottenham,2024-03-10,soccer,Premier League
real_274,Brighton,Nott'm Forest,2024-03-10,soccer,Premier League
real_275,West Ham,Burnley,2024-03-10,soccer,Premier League
real_276,Liverpool,Man City,2024-03-10,soccer,Premier League
real_277,Chelsea,Newcastle,2024-03-11,soccer,Premier League
real_278,Bournemouth,Luton,2024-03-13,soccer,Premier League
real_279,Burnley,Brentford,2024-03-16,soccer,Premier League
real_280,Luton,Nott'm Forest,2024-03-16,soccer,Premier League
real_281,Fulham,Tottenham,2024-03-16,soccer,Premier League
real_282,West Ham,Aston Villa,2024-03-17,soccer,Premier League
real_283,Newcastle,West Ham,2024-03-30,soccer,Premier League
real_284,Bournemouth,Everton,2024-03-30,soccer,Premier League
real_285,Chelsea,Burnley,2024-03-30,soccer,Premier League
real_286,Nott'm Forest,Crystal Palace,2024-03-30,soccer,Premier League
real_287,Sheffield United,Fulham,2024-03-30,soccer,Premier League
real_288,Tottenham,Luton,2024-03-30,soccer,Premier League
real_289,Aston Villa,Wolves,2024-03-30,soccer,Premier League
real_290,Brentford,Man United,2024-03-30,soccer,Premier League
real_291,Liverpool,Brighton,2024-03-31,soccer,Premier League
real_292,Man City,Arsenal,2024-03-31,soccer,Premier League
real_293,Newcastle,Everton,2024-04-02,soccer,Premier League
real_294,Nott'm Forest,Fulham,2024-04-02,soccer,Premier League
real_295,Bournemouth,Crystal Palace,2024-04-02,soccer,Premier League
real_296,Burnley,Wolves,2024-04-02,soccer,Premier League
real_297,West Ham,Tottenham,2024-04-02,soccer,Premier League
real_298,Arsenal,Luton,2024-04-03,soccer,Premier League
real_299,Brentford,Brighton,2024-04-03,soccer,Premier League
real_300,Man City,Aston Villa,2024-04-03,soccer,Premier League
real_301,Liverpool,Sheffield United,2024-04-04,soccer,Premier League
real_302,Chelsea,Man United,2024-04-04,soccer,Premier League
real_303,Crystal Palace,Man City,2024-04-06,soccer,Premier League
real_304,Aston Villa,Brentford,2024-04-06,soccer,Premier League
real_305,Everton,Burnley,2024-04-06,soccer,Premier League
real_306,Fulham,Newcastle,2024-04-06,soccer,Premier League
real_307,Luton,Bournemouth,2024-04-06,soccer,Premier League
real_308,Wolves,West Ham,2024-04-06,soccer,Premier League
real_309,Brighton,Arsenal,2024-04-06,soccer,Premier League
real_310,Man United,Liverpool,2024-04-07,soccer,Premier League
real_311,Sheffield United,Chelsea,2024-04-07,soccer,Premier League
real_312,Tottenham,Nott'm Forest,2024-04-07,soccer,Premier League
real_313,Newcastle,Tottenham,2024-04-13,soccer,Premier League
real_314,Brentford,Sheffield United,2024-04-13,soccer,Premier League
real_315,Burnley,Brighton,2024-04-13,soccer,Premier League
real_316,Man City,Luton,2024-04-13,soccer,Premier League
real_317,Nott'm Forest,Wolves,2024-04-13,soccer,Premier League
real_318,Bournemouth,Man United,2024-04-13,soccer,Premier League
real_319,Liverpool,Crystal Palace,2024-04-14,soccer,Premier League
real_320,West Ham,Fulham,2024-04-14,soccer,Premier League
real_321,Arsenal,Aston Villa,2024-04-14,soccer,Premier League
real_322,Chelsea,Everton,2024-04-15,soccer,Premier League
real_323,Luton,Brentford,2024-04-20,soccer,Premier League
real_324,Sheffield United,Burnley,2024-04-20,soccer,Premier League
real_325,Wolves,Arsenal,2024-04-20,soccer,Premier League
real_326,Everton,Nott'm Forest,2024-04-21,soccer,Premier League
real_327,Aston Villa,Bournemouth,2024-04-21,soccer,Premier League
real_328,Crystal Palace,West Ham,2024-04-21,soccer,Premier League
real_329,Fulham,Liverpool,2024-04-21,soccer,Premier League
real_330,Arsenal,Chelsea,2024-04-23,soccer,Premier League
real_331,Wolves,Bournemouth,2024-04-24,soccer,Premier League
real_332,Crystal Palace,Newcastle,2024-04-24,soccer,Premier League
real_333,Everton,Liverpool,2024-04-24,soccer,Premier League
real_334,Man United,Sheffield United,2024-04-24,soccer,Premier League
real_335,Brighton,Man City,2024-04-25,soccer,Premier League
real_336,West Ham,Liverpool,2024-04-27,soccer,Premier League
real_337,Fulham,Crystal Palace,2024-04-27,soccer,Premier League
real_338,Man United,Burnley,2024-04-27,soccer,Premier League
real_339,Newcastle,Sheffield United,2024-04-27,soccer,Premier League
real_340,Wolves,Luton,2024-04-27,soccer,Premier League
real_341,Everton,Brentford,2024-04-27,soccer,Premier League
real_342,Aston Villa,Chelsea,2024-04-27,soccer,Premier League
real_343,Bournemouth,Brighton,2024-04-28,soccer,Premier League
real_344,Tottenham,Arsenal,2024-04-28,soccer,Premier League
real_345,Nott'm Forest,Man City,2024-04-28,soccer,Premier League
real_346,Chelsea,Tottenham,2024-05-02,soccer,Premier League
real_347,Luton,Everton,2024-05-03,soccer,Premier League
real_348,Arsenal,Bournemouth,2024-05-04,soccer,Premier League
real_349,Brentford,Fulham,2024-05-04,soccer,Premier League
real_350,Burnley,Newcastle,2024-05-04,soccer,Premier League
real_351,Sheffield United,Nott'm Forest,2024-05-04,soccer,Premier League
real_352,Man City,Wolves,2024-05-04,soccer,Premier League
real_353,Brighton,Aston Villa,2024-05-05,soccer,Premier League
real_354,Chelsea,West Ham,2024-05-05,soccer,Premier League
real_355,Liverpool,Tottenham,2024-05-05,soccer,Premier League
real_356,Crystal Palace,Man United,2024-05-06,soccer,Premier League
real_357,Fulham,Man City,2024-05-11,soccer,Premier League
real_358,Bournemouth,Brentford,2024-05-11,soccer,Premier League
real_359,Everton,Sheffield United,2024-05-11,soccer,Premier League
real_360,Newcastle,Brighton,2024-05-11,soccer,Premier League
real_361,Tottenham,Burnley,2024-05-11,soccer,Premier League
real_362,West Ham,Luton,2024-05-11,soccer,Premier League
real_363,Wolves,Crystal Palace,2024-05-11,soccer,Premier League
real_364,Nott'm Forest,Chelsea,2024-05-11,soccer,Premier League
real_365,Man United,Arsenal,2024-05-12,soccer,Premier League
real_366,Aston Villa,Liverpool,2024-05-13,soccer,Premier League
real_367,Tottenham,Man City,2024-05-14,soccer,Premier League
real_368,Brighton,Chelsea,2024-05-15,soccer,Premier League
real_369,Man United,Newcastle,2024-05-15,soccer,Premier League
real_370,Arsenal,Everton,2024-05-19,soccer,Premier League
real_371,Brentford,Newcastle,2024-05-19,soccer,Premier League
real_372,Brighton,Man United,2024-05-19,soccer,Premier League
real_373,Burnley,Nott'm Forest,2024-05-19,soccer,Premier League
real_374,Chelsea,Bournemouth,2024-05-19,soccer,Premier League
real_375,Crystal Palace,Aston Villa,2024-05-19,soccer,Premier League
real_376,Liverpool,Wolves,2024-05-19,soccer,Premier League
real_377,Luton,Fulham,2024-05-19,soccer,Premier League
